Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Uttar Pradesh (East),100.04
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Uttar Pradesh (West),63.63
India,"Calendar Year (Jan - Dec), 2023","January, 2023",West Bengal,57.14
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Kolkata,24.91
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Delhi,58.18
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Mumbai,37.56
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Andhra Pradesh,84.7
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Assam,24.97
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Bihar,91.51
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Gujarat,67.24
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Haryana,27.13
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Himachal Pradesh,9.73
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Jammu & Kashmir,12.39
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Karnataka,69.33
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Kerala,43.85
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Madhya Pradesh,77.49
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Maharashtra,92.92
India,"Calendar Year (Jan - Dec), 2022","December, 2022",North East,12.33
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Odisha,33.66
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Punjab,36.94
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Rajasthan,63.93
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Tamil Nadu,81
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Uttar Pradesh (East),100.58
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Uttar Pradesh (West),63.7
India,"Calendar Year (Jan - Dec), 2022","December, 2022",West Bengal,56.9
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Kolkata,24.85
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Delhi,57.88
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Mumbai,37.24
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Andhra Pradesh,84.6
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Assam,24.85
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Bihar,91.83
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Gujarat,67.39
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Haryana,27.17
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Himachal Pradesh,9.91
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Jammu & Kashmir,12.39
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Karnataka,69.26
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Kerala,43.87
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Madhya Pradesh,77.39
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Maharashtra,92.66
India,"Calendar Year (Jan - Dec), 2022","November, 2022",North East,12.33
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Odisha,33.6
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Punjab,36.85
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Rajasthan,63.73
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Tamil Nadu,80.77
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Uttar Pradesh (East),100.97
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Uttar Pradesh (West),64.06
India,"Calendar Year (Jan - Dec), 2022","November, 2022",West Bengal,57.05
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Kolkata,24.78
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Delhi,57.54
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Mumbai,37.1
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Andhra Pradesh,84.9
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Assam,24.79
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Bihar,91.6
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Gujarat,67.42
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Haryana,27.11
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Himachal Pradesh,9.95
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Jammu & Kashmir,12.39
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Karnataka,68.71
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Kerala,43.82
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Madhya Pradesh,77.71
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Maharashtra,92.87
India,"Calendar Year (Jan - Dec), 2022","October, 2022",North East,12.34
